RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
190,37,21,21,13,0.0,51,,,12,+2 Laps
190,21,22,14,14,0.0,47,,,5,Engine
190,68,21,19,15,0.0,43,,,6,Gearbox
190,69,18,22,16,0.0,43,,,5,Engine
190,14,1,3,17,0.0,39,,,9,Hydraulics
190,48,18,20,18,0.0,31,,,6,Gearbox
190,71,17,12,19,0.0,21,,,68,Physical
190,44,20,6,20,0.0,19,,,91,Alternator
190,15,20,7,21,0.0,3,,,5,Engine
190,70,3,8,22,0.0,0,,,10,Electrical
191,57,1,1,1,10.0,58,,,1,Finished
191,14,1,2,2,6.0,58,,,1,Finished
191,49,3,6,3,4.0,57,,,11,+1 Lap
191,56,6,8,4,3.0,57,,,11,+1 Lap
191,35,3,4,5,2.0,57,,,11,+1 Lap
191,65,15,5,6,1.0,57,,,11,+1 Lap
191,25,22,11,7,0.0,57,,,11,+1 Lap
191,71,17,10,8,0.0,57,,,11,+1 Lap
191,44,20,21,9,0.0,57,,,11,+1 Lap
191,21,22,7,10,0.0,43,,,41,Broken wing
191,55,15,12,11,0.0,41,,,5,Engine
191,15,20,15,12,0.0,26,,,6,Gearbox
191,73,25,19,13,0.0,25,,,6,Gearbox
191,63,21,16,14,0.0,23,,,6,Gearbox
191,74,18,17,15,0.0,22,,,5,Engine
191,75,18,22,16,0.0,8,,,86,Halfshaft
191,30,6,3,17,0.0,5,,,5,Engine
191,64,21,20,18,0.0,2,,,6,Gearbox
191,23,17,9,19,0.0,1,,,4,Collision
191,76,24,18,20,0.0,1,,,4,Collision
191,68,25,13,21,0.0,1,,,20,Spun off
191,22,24,14,22,0.0,0,,,6,Gearbox
192,57,1,1,1,10.0,72,,,1,Finished
192,14,1,2,2,6.0,72,,,1,Finished
192,30,6,4,3,4.0,72,,,1,Finished
192,25,22,5,4,3.0,72,,,1,Finished
192,49,3,3,5,2.0,71,,,11,+1 Lap
192,21,22,7,6,1.0,71,,,11,+1 Lap
192,35,3,10,7,0.0,71,,,11,+1 Lap
192,56,6,6,8,0.0,71,,,11,+1 Lap
192,55,15,15,9,0.0,71,,,11,+1 Lap
192,76,24,16,10,0.0,70,,,12,+2 Laps
